ntd_id,Agency,UZA Name,pre_vrm,mean_speed,treatment_column,treatment_definition,weight
50016,Central Ohio Transit Authority,"Columbus, OH",15290540.0,12.132274838677102,any_intersection,GeoJSON any policy-date route shape intersects CBD geofence,0.4202366906175671
60048,Capital Metropolitan Transportation Authority,"Austin, TX",20467320.0,11.121250941587036,any_intersection,GeoJSON any policy-date route shape intersects CBD geofence,0.35451590307108827
90045,Regional Transportation Commission of Southern Nevada,"Las Vegas--Henderson--Paradise, NV",26120165.0,12.430849249550063,any_intersection,GeoJSON any policy-date route shape intersects CBD geofence,0.10647366373028198
40035,Central Florida Regional Transportation Authority,"Orlando, FL",22750247.0,13.438463005820614,any_intersection,GeoJSON any policy-date route shape intersects CBD geofence,0.038396901466401505
90136,Regional Public Transportation Authority,"Phoenix--Mesa--Scottsdale, AZ",16927921.0,12.121770077555365,any_intersection,GeoJSON any policy-date route shape intersects CBD geofence,0.03659237965583794
30068,"Fairfax County, VA","Washington--Arlington, DC--VA--MD",15766721.0,13.398154383219193,any_intersection,GeoJSON any policy-date route shape intersects CBD geofence,0.02707452749265228
50012,Southwest Ohio Regional Transit Authority,"Cincinnati, OH--KY",16043391.0,13.542988647694752,any_intersection,GeoJSON any policy-date route shape intersects CBD geofence,0.016709933966171035
30030,Washington Metropolitan Area Transit Authority,"Washington--Arlington, DC--VA--MD",54734133.0,9.719217502587046,any_intersection,GeoJSON any policy-date route shape intersects CBD geofence,0.0
50066,Chicago Transit Authority,"Chicago, IL--IN",68740740.0,9.09251292194554,any_intersection,GeoJSON any policy-date route shape intersects CBD geofence,0.0
90154,Los Angeles County Metropolitan Transportation Authority ,"Los Angeles--Long Beach--Anaheim, CA",100590040.0,10.21734045540516,any_intersection,GeoJSON any policy-date route shape intersects CBD geofence,0.0
30019,Southeastern Pennsylvania Transportation Authority,"Philadelphia, PA--NJ--DE--MD",53796293.0,10.201183925896974,any_intersection,GeoJSON any policy-date route shape intersects CBD geofence,0.0
