month,control_centered_speed,synthetic_centered_speed,gap_mph,post
2023-08-01,0.22438519598678308,0.05725359080968944,0.16713160517709363,False
2023-09-01,-0.12583562770723944,-0.007084218017493454,-0.11875140968974598,False
2023-10-01,-0.07078492930371727,-0.03198144014153541,-0.03880348916218186,False
2023-11-01,-0.027238235220266915,-0.024256176167095862,-0.002982059053171053,False
2023-12-01,0.051537047725198626,-0.007327175413569489,0.058864223138768115,False
2024-01-01,0.1304211592991278,0.10980356388758017,0.020617595411547618,False
2024-02-01,0.07276113820021024,0.0449695799140869,0.02779155828612334,False
2024-03-01,-0.012614033083796272,0.030286429046728514,-0.042900462130524786,False
2024-04-01,0.07194541445218317,-0.006104809891464304,0.07805022434364747,False
2024-05-01,-0.16822600488545447,-0.10805902356656122,-0.06016698131889325,False
2024-06-01,-0.04646415310581187,0.07283669317571989,-0.11930084628153176,False
2024-07-01,0.10289702252786537,0.005698732991052974,0.0971982895368124,False
2024-08-01,0.12027457756509641,0.026044706290394133,0.09422987127470228,False
2024-09-01,-0.19336829007447864,-0.1468566105935023,-0.04651167948097634,False
2024-10-01,-0.049925157062937764,0.025983031932819686,-0.07590818899575745,False
2024-11-01,-0.0842151722230966,-0.018821990579602967,-0.06539318164349364,False
2024-12-01,0.00445004691033013,-0.022384883677252533,0.026834930587582663,False
2025-01-01,0.15294907838454463,-0.2158664054273327,0.36881548381187734,True
2025-02-01,0.07404763735048192,-0.07115642202936062,0.14520405937984254,True
2025-03-01,0.050989577079636916,-0.08345554491752653,0.13444512199716346,True
2025-04-01,0.05826876781588464,-0.09689506157722402,0.15516382939310866,True
2025-05-01,-0.07508258458630568,-0.09544298838485626,0.020360403798550586,True
2025-06-01,0.009115807066865322,-0.07185782833275345,0.08097363539961877,True
2025-07-01,0.1424607018366455,-0.08191262045083383,0.22437332228747933,True
2025-08-01,0.2171861353786877,-0.025549622650209415,0.2427357580288971,True
2025-09-01,-0.09499916504431383,-0.11498046958591272,0.019981304541598896,True
2025-10-01,-0.020097653372682878,-0.1235554533897398,0.10345780001705693,True
2025-11-01,0.016136339460071092,-0.06803523206236257,0.08417157152243367,True
2025-12-01,0.049373237142060766,-0.12293655961204492,0.17230979675410568,True
2026-01-01,0.14848798831265242,-0.03991612520494461,0.18840411351759703,True
2026-02-01,-0.2735958843182029,-0.04294864972660699,-0.23064723459159592,True
2026-03-01,0.06811009863253847,-0.02137102375856953,0.089481122391108,True
2026-04-01,0.139610314950243,-0.07640139539825903,0.21601171034850203,True
2026-05-01,-0.03610028415152211,-0.09600093067177141,0.059900646520249304,True
